----o----,1070910255,588123516,843564424,739571919,0,592183446,923937625,617903551,874108281
---oo--x-,89990,63034,253762,0,0,725096,581830,0,962861
-o-oox-x-,0,0,9415,0,0,0,8797,0,20744
oo-oox-xx,0,0,375,0,0,0,349,0,0
------o--,2004276370,1810767833,1713855189,877699371,2645717419,1493614753,0,740806478,2257269639
----x-o-o,276399,991368,305657,826761,0,993162,0,1318597,0
---ox-oxo,8920,183,4568,0,0,2612,0,0,0
x--oxooxo,0,372,0,0,0,0,0,0,0
-----o---,3170374207,2548717221,2677159862,1027259826,4269632180,0,3414090472,2523079128,2612885278
--o--ox--,2058226,331130,0,739981,665137,0,0,1093507,2335636
--ox-oxo-,182,4327,0,0,5280,0,0,0,8142
--o------,1931364442,785581541,0,1536422393,2709908354,734082876,1619220018,2090529032,2174040802
xoo--ox--,0,0,0,168,12205,0,0,12968,30147
xoo-oox-x,0,0,0,349,0,0,0,357,0
-------o-,3062591079,884236876,3263090471,2192359254,3967939135,1861351937,2515413913,0,2616978246
o---x--o-,0,302506,2090250,1581475,0,2377471,1695778,0,796992
o--xx--oo,0,4027,14471,0,0,153,16908,0,0
-o---xo--,574592,0,916683,1129844,1996393,0,0,173088,2041024
-o---xoox,12357,0,173,11515,27666,0,0,0,0
oo-x-xoox,0,0,348,0,367,0,0,0,0
---o-xo--,730060,199636,1054402,0,397802,0,0,67380,1268408
x--o-xo-o,0,4272,4706,0,0,0,0,0,0
xx-ooxo-o,0,0,354,0,0,0,0,0,0
-o-------,2719485834,0,2607546320,2156643841,3889043612,1885083143,3382180314,1109819963,3055528933
-oxo-----,1077843,0,0,0,3077435,1127124,2206686,773515,2664234
ooxo---x-,0,0,0,0,11160,4349,17908,0,12053
ooxoxo-x-,0,0,0,0,0,0,388,0,0
xoxo--o--,0,0,0,0,9963,9130,0,0,18429
xoxoo-o-x,0,0,0,0,0,371,0,0,0
o-----ox-,0,255504,50710,539981,919534,231305,0,0,47646
oxo---ox-,0,0,0,10213,172,5021,0,0,2851
-o--x--o-,3149165,0,2934919,3072969,0,2398383,2819993,0,3197598
xo-ox--o-,0,0,20484,0,0,6693,20704,0,146
xoxoxo-o-,0,0,0,0,0,0,340,0,394
oxo------,0,0,0,470443,1393803,451620,668022,1399254,504590
oxo-x---o,0,0,0,13567,0,21581,3768,171,0
oxooxx--o,0,0,0,0,0,0,0,332,0
--------o,1645678812,1665289640,2005360287,1628979747,2641133783,815958244,1939740428,784721890,0
x--o----o,0,1142295,1101167,0,659732,113951,421073,485606,0
x-xoo---o,0,159,0,0,0,6835,4298,4039,0
---o-----,2572923138,2409382110,3289472665,0,4262442698,892927462,2954161714,2552333435,3239496143
---ox-o--,2601726,2471825,857080,0,0,402607,0,1209841,1437948
---oxoox-,17196,186,4164,0,0,0,0,0,11914
--ooxooxx,354,356,0,0,0,0,0,0,0
-oox-----,2161402,0,0,0,1939808,554115,1102676,183699,604575
-oox-xo--,9899,0,0,0,163,0,0,3813,4061
-xo----o-,327637,0,0,213793,322203,83576,67631,0,151905
xxo---oo-,0,0,0,0,6129,0,0,0,8195
xxo--ooox,0,0,0,0,323,0,0,0,0
--xo---o-,2903705,1516811,0,0,3133346,1636067,1836297,0,2427737
-oxo--xo-,8890,0,0,0,172,13646,0,0,11369
xoxo-oxo-,0,0,0,0,347,0,0,0,0
o-xox--o-,0,8336,0,0,0,11236,189,0,13146
oxxoxo-o-,0,0,0,0,0,0,340,0,0
--o--o--x,2487768,666816,0,942752,2726378,0,2803096,2658076,0
-xo--oo-x,6735,0,0,0,20600,0,0,9651,0
oxo-xoo-x,0,0,0,0,0,0,0,359,0
-oo---x--,2284583,0,0,1127909,711607,243622,0,825015,2049503
-oox--x-o,178,0,0,0,10358,11908,0,3590,0
---ox--o-,2110467,860092,3319357,0,0,1121256,1768153,0,2693667
---oxo-ox,176,9054,17771,0,0,0,19262,0,0
-o-oxoxox,360,0,338,0,0,0,0,0,0
--o--o-x-,711343,1111240,0,332615,2125678,0,925729,0,2826806
-xo--oox-,3560,0,0,4633,174,0,0,0,9238
---oo---x,343178,243408,1175533,0,0,1191069,761356,947300,0
xo-oo---x,0,0,4738,0,0,5557,5209,5728,0
xoooo-x-x,0,0,0,0,0,0,0,383,0
o--------,0,883521594,1977018983,761569127,2643951513,1531534903,2022527209,1603354256,1514559991
o-x--o---,0,603252,0,112501,1301516,0,1516535,623065,427293
o-x--oxo-,0,8570,0,5694,192,0,0,0,7136
x-xoox-oo,0,339,0,0,0,0,0,0,0
--x--o-o-,3301889,1563418,0,675784,2298374,0,2258628,0,947252
--xxoo-o-,11911,7688,0,0,0,0,3283,0,0
x-xxoooo-,0,400,0,0,0,0,0,0,0
oo--x----,0,0,2528448,1039051,0,1709635,1076127,488407,847110
oo--xx-o-,0,0,25496,196,0,0,11345,0,12283
oox-xx-oo,0,0,0,344,0,0,386,0,0
--oo----x,1134925,620611,0,0,2449176,237077,1207125,2470821,0
-ooo---xx,17664,0,0,0,12026,2718,180,0,0
xooo-o-xx,0,0,0,0,363,0,345,0,0
o----o-x-,0,1166205,734711,185873,2466993,0,1906432,0,1304875
o---xo-xo,0,165,19656,6556,0,0,12382,0,0
o--xxooxo,0,359,0,0,0,0,0,0,0
o--o----x,0,416627,1609865,0,850657,815772,1904684,900552,0
oxoo----x,0,0,0,0,4738,0,9248,17985,0
oxooo--xx,0,0,0,0,0,0,387,0,0
xoo------,0,0,0,2292396,2731968,760137,2382025,779679,2013612
xoo-x--o-,0,0,0,27910,0,19138,20913,0,176
-o---x--o,395560,0,463879,1103977,1605091,0,672770,90869,0
oo---x-xo,0,0,0,2958,3459,0,0,0,0
oo-x-xoxo,0,0,0,0,355,0,0,0,0
--o----ox,1651500,244402,0,684701,1210644,675675,536070,0,0
x-o--o-ox,0,8635,0,17967,200,0,20226,0,0
x-oo-oxox,0,0,0,0,396,0,0,0,0
xo-----o-,0,0,881498,1797829,3002704,653818,2152896,0,1355985
xo-o-x-o-,0,0,3115,0,6424,0,0,0,11872
xoxo-xoo-,0,0,0,0,0,0,0,0,361
-x-o-o---,1639954,0,2024975,0,3424782,0,597728,1080829,752533
xx-o-oo--,0,0,165,0,24893,0,0,13808,13414
xx-o-ooox,0,0,355,0,297,0,0,0,0
---o--ox-,1060928,929480,251370,0,939374,49574,0,0,577072
---o-ooxx,9845,4551,0,0,15461,0,0,0,0
-o-oxooxx,394,0,0,0,0,0,0,0,0
-o---ox--,3052217,0,1656652,1736697,3326124,0,0,1954273,2766224
-o---oxox,11396,0,7544,3714,21423,0,0,0,0
-oo-xoxox,357,0,0,0,0,0,0,0,0
x----o-o-,0,1254153,2899277,1444593,2698958,0,2991790,0,1725110
x-o-ooxox,0,0,0,376,0,0,0,0,0
---x-o-o-,1360896,376434,672234,0,851421,0,1322048,0,521196
o--xxo-o-,0,0,10476,0,0,0,7595,0,0
ooxxxo-o-,0,0,0,0,0,0,353,0,0
o----ox--,0,638728,1475670,293359,2387255,0,0,1969465,1325741
o---xox-o,0,16089,201,10168,0,0,0,10789,0
-oo-x----,2594194,0,0,1602155,0,1121109,667841,280290,1388218
-ooxx-o--,17913,0,0,0,0,171,0,5048,15732
o-x--ox-o,0,7955,0,7376,177,0,0,9340,0
oox--oxxo,0,0,0,0,376,0,0,0,0
o--o--x--,0,1065308,2448338,0,2492234,1054907,0,2493002,2184669
o--ox-x-o,0,16135,177,0,0,9882,0,16276,0
